Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,354.799988,358.040009,352.250000,353.049988,349.982544,4032100
2021-08-31,352.940002,355.220001,344.679993,346.230011,343.221863,6780400
2021-09-01,347.380005,352.049988,347.299988,349.570007,346.532837,4499600
2021-09-02,350.510010,350.540009,339.329987,341.279999,338.314819,7412000
2021-09-03,339.929993,344.140015,338.929993,340.230011,337.274017,5171000
2021-09-07,344.890015,348.000000,343.019989,344.709991,341.715057,4764300
2021-09-08,345.000000,352.000000,345.000000,351.040009,347.990051,5054500
2021-09-09,350.709991,353.640015,349.920013,351.410004,348.356842,3716200
2021-09-10,354.929993,355.000000,347.019989,347.390015,344.371796,3437700
2021-09-13,350.000000,351.989990,346.359985,347.820007,344.798065,3234200
2021-09-14,349.679993,349.880005,345.250000,345.799988,342.795563,3281900
2021-09-15,347.000000,347.529999,342.760010,344.750000,341.754700,3833500
2021-09-16,345.410004,347.679993,344.690002,346.309998,343.301147,3771100
2021-09-17,344.000000,346.000000,340.769989,343.040009,340.059601,5527500
2021-09-20,338.320007,341.109985,335.619995,339.690002,336.738678,3956600
2021-09-21,342.200012,343.179993,337.279999,337.380005,334.448730,2967300
2021-09-22,339.299988,343.869995,338.540009,343.410004,340.426361,3238800
2021-09-23,345.739990,354.790009,345.200012,354.070007,350.993713,4783200
2021-09-24,354.029999,359.929993,352.760010,358.160004,355.048218,3306200
2021-09-27,357.049988,362.589996,355.160004,356.769989,353.670288,4158000
2021-09-28,355.500000,356.000000,349.049988,351.179993,348.128845,3266900
2021-09-29,352.809998,357.179993,352.410004,353.190002,350.121399,2808800
2021-09-30,354.739990,356.000000,347.399994,347.679993,344.659241,4393300
2021-10-01,349.829987,363.179993,347.160004,360.179993,357.050629,5227300
2021-10-04,359.929993,360.649994,339.339996,344.200012,341.209473,7901500
2021-10-05,347.559998,348.570007,342.929993,343.209991,340.228119,4724100
2021-10-06,340.010010,348.880005,339.109985,348.690002,345.660492,3712000
2021-10-07,349.000000,357.899994,349.000000,353.910004,351.278412,3209200
